"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","trstsci","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","feethngr","facntr","fbrncntc","mocntr","mbrncntc","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","implvdm","gndr","yrbrn","edlvebe","edlvebg","edlvdch","edlvehr","edlvdcz","edlvdee","edlvdfi","edlvdfr","edlvegr","edlvdahu","edlvdis","edlvdie","edlveit","edlvdlt","edlvdme","edlvenl","edlveno","edlvdpt","edlvesi","edlvdsk","educgb1","edubgb2","edagegb","acchome","accwrk","accmove","accoth","accnone","accref","accdk","accna","fampref","famadvs","fampdf","mcclose","mcinter","mccoord","mcpriv","mcmsinf","chldo12","gndro12a","gndro12b","ageo12","hhlio12","closeo12","ttmino12","speako12","scrno12","phoneo12","como12","c19spo12","c19mco12","livpnt","pntmofa","agepnt","hhlipnt","closepnt","ttminpnt","speakpnt","scrnpnt","phonepnt","compnt","c19sppnt","c19mcpnt","stfmjob","trdawrk","jbprtfp","pfmfdjba","dcsfwrka","wrkhome","c19whome","c19wplch","wrklong","wrkresp","c19whacc","mansupp","manhlp","manwrkpl","manspeak","manscrn","manphone","mancom","teamfeel","wrkextra","colprop","colhlp","colspeak","colscrn","colphone","colcom","c19spwrk","c19mcwrk","mcwrkhom","inwds","inwde","inwtm","mode"
"ESS10e03_2",10,"3.2","02.11.2023",50002,"GB",0.56076133,0.46219853,4.7942204,2.2158816,0.0002020388,1463,10279,60,2,6666,7,7,8,4,2,3,2,1,2,7,7,2,2,4,4,9,1,2,2,2,2,2,2,2,2,1,2,5,8,2,2,2,2,1,4,2,4,2,7,2,4,2,2,2,7,7,7,8,3,3,3,2,2,3,2,7,5,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,7,3,,,9,1,1950,,,,,,,,,,,,,,,,,,,,,1,1,16,1,0,0,0,0,0,0,0,1,1,1,7,5,5,5,3,3,2,6,52,2,2,1,3,7,3,7,3,3,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2022-06-25 14:18:00,2022-06-25 14:58:00,26,1
"ESS10e03_2",10,"3.2","02.11.2023",50008,"GB",1.1215227,0.85217094,4.7942204,4.0854955,0.0001010194,1428,10236,90,3,6666,8,8,7,2,3,1,3,1,6,6,5,7,7,5,5,8,1,2,2,2,2,2,2,2,2,1,2,9,8,6,7,8,6,6,4,2,4,3,5,2,4,3,3,3,3,3,3,9,4,4,3,2,2,1,3,10,3,2,66,1,2,4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,10,5,,,10,2,1938,,,,,,,,,,,,,,,,,,,,,5,5,20,1,0,0,0,0,0,0,0,1,1,1,3,3,0,5,0,2,1,6,54,2,2,1,3,7,3,6,1,1,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2021-09-13 15:03:00,2021-09-13 16:33:00,66,1
"ESS10e03_2",10,"3.2","02.11.2023",50021,"GB",1.1215227,0.8288359,4.7942204,3.973622,0.0001010194,1501,10327,60,1,6666,4,5,6,2,2,1,2,1,3,5,4,3,4,2,5,6,1,2,2,2,2,2,2,2,2,2,6,5,7,4,4,5,5,6,3,2,4,2,4,2,2,2,2,2,6,5,6,5,2,2,2,2,2,3,3,7,5,1,1,6,66,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,2,"PL",1,"6666",3,4,3,,,6,1,1953,,,,,,,,,,,,,,,,,,,,,7,11,15,0,0,0,0,1,0,0,0,1,1,1,6,7,6,7,6,1,6,2,52,2,2,0,2,7,2,7,3,3,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2022-08-17 13:02:00,2022-08-17 14:33:00,69,1
"ESS10e03_2",10,"3.2","02.11.2023",50023,"GB",1.1215227,1.8213063,4.7942204,8.731745,0.0001010194,1478,10300,60,5,180,4,7,4,2,3,2,3,2,3,4,6,2,4,6,5,7,2,2,2,2,1,2,1,1,1,1,2,2,8,5,4,6,7,4,2,1,5,1,7,3,4,1,1,1,9,10,10,8,6,3,3,1,3,2,3,4,7,2,66,1,1,3,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"PL",2005,"POL","000",1,2,"PL",2,"PL",3,8,4,,,10,2,2001,,,,,,,,,,,,,,,,,,,,,1,11,96,1,0,0,0,0,0,0,0,5,5,4,4,8,8,7,9,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,49,2,5,40,7,7,7,7,3,3,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2022-08-31 18:12:00,2022-08-31 18:59:00,39,1
"ESS10e03_2",10,"3.2","02.11.2023",50033,"GB",1.1215227,0.6544678,4.7942204,3.1376631,0.0001010194,1450,10387,30,1,6666,6,4,4,4,2,1,2,2,0,0,5,0,0,0,2,6,1,2,2,2,2,2,2,2,2,2,6,6,5,3,3,3,5,6,2,1,5,2,0,1,3,2,3,3,4,2,4,4,3,3,2,2,2,3,3,7,0,2,66,2,66,4,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,9,4,,,6,2,1957,,,,,,,,,,,,,,,,,,,,,5,11,17,0,1,0,0,0,0,0,0,2,1,1,7,0,8,9,10,0,6,6,666,6,6,6666,66,66,66,66,66,6,4,6,666,6,6,6666,66,66,66,66,66,6,3,5,4,3,3,6,55,6,3,6,2,5,2,1,2,7,6,6,10,4,1,1,1,7,7,7,3,4,7,2021-10-24 11:13:00,2021-10-24 12:17:00,49,1
"ESS10e03_2",10,"3.2","02.11.2023",50052,"GB",0.56076133,0.4172558,4.7942204,2.0004163,0.0002020388,1456,10102,240,1,6666,2,3,4,2,2,2,2,1,1,6,1,1,1,1,1,7,2,2,2,2,2,2,2,2,2,1,3,5,6,5,0,5,7,1,2,2,4,2,6,2,3,2,2,2,5,5,5,8,1,1,1,2,3,4,1,6,6,1,2,6,66,2,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,7,3,,,5,2,1951,,,,,,,,,,,,,,,,,,,,,7,11,15,0,0,0,0,1,0,0,0,1,1,1,88,88,88,88,88,2,2,6,44,2,2,0,3,7,1,7,3,3,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2021-08-23 14:33:00,2021-08-23 15:23:00,39,1
"ESS10e03_2",10,"3.2","02.11.2023",50100,"GB",0.56076133,0.87736005,4.7942204,4.2062573,0.0002020388,1412,10263,90,5,180,6,7,7,2,2,3,2,4,2,7,6,0,2,2,3,7,1,2,2,2,1,2,1,1,1,1,3,6,6,4,3,5,2,3,1,1,5,1,6,4,5,1,1,1,10,10,9,6,5,1,2,1,3,2,3,2,0,2,66,2,66,5,5,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,10,5,,,10,2,1970,,,,,,,,,,,,,,,,,,,,,1,4,25,1,1,1,1,0,0,0,0,5,4,5,10,10,10,10,10,1,6,2,14,1,7,6666,3,3,3,1,3,3,3,6,79,2,7,35,6,4,3,7,55,3,6,5,5,5,3,2,1,1,2,1,1,6,1,2,4,3,3,1,8,8,5,2,1,1,6,1,5,1,8,2021-10-13 20:35:00,2021-10-13 21:34:00,50,2
"ESS10e03_2",10,"3.2","02.11.2023",50129,"GB",0.56076133,0.41014147,4.7942204,1.9663086,0.0002020388,1393,10413,60,4,60,9,9,9,2,2,4,3,4,7,8,9,6,6,7,6,9,1,2,1,2,2,2,2,2,2,1,1,4,8,88,5,8,88,6,2,2,4,3,8,4,4,2,2,2,7,8,5,8,6,2,2,2,1,2,2,8,8,2,66,2,66,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",4,10,3,,,10,1,1935,,,,,,,,,,,,,,,,,,,,,4,5,16,1,0,1,0,0,0,0,0,3,3,1,8,9,9,6,8,2,2,6,58,2,2,1,4,3,3,3,2,2,4,6,666,6,6,6666,66,66,66,66,66,6,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2021-10-07 10:10:00,2021-10-07 11:25:00,60,1
"ESS10e03_2",10,"3.2","02.11.2023",50191,"GB",0.56076133,0.37588274,4.7942204,1.8020648,0.0002020388,1491,10150,30,5,180,7,5,6,1,2,3,2,4,7,7,6,4,5,7,4,8,1,1,1,2,1,2,1,1,2,1,2,4,8,6,1,4,6,6,1,1,5,1,5,5,5,2,2,2,8,10,7,7,5,3,3,2,2,1,3,8,6,2,66,2,66,0,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"6666",6666,"ENG","000",1,1,"6666",1,"6666",3,8,4,,,10,2,1980,,,,,,,,,,,,,,,,,,,,,4,10,17,1,1,1,1,0,0,0,0,5,5,5,9,8,9,6,10,0,6,6,666,6,6,6666,66,66,66,66,66,6,1,1,65,2,2,0,3,3,4,5,3,3,6,2,3,1,1,1,1,1,3,5,1,6,1,6,7,5,3,3,7,3,7,2,7,6,3,2,5,1,9,2021-09-01 15:32:00,2021-09-01 16:42:00,56,1
"ESS10e03_2",10,"3.2","02.11.2023",50242,"GB",1.682284,1.3865957,4.7942204,6.6476455,0.00006734627,1465,10115,90,5,120,6,8,6,1,2,3,2,4,0,8,8,7,3,7,3,8,1,1,1,2,2,2,1,1,2,1,1,4,8,1,0,1,7,6,2,1,5,2,5,2,5,2,1,1,10,8,9,9,3,3,4,2,2,2,2,0,9,2,66,1,1,0,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"6666",6666,"ENG","000",2,1,"6666",1,"6666",4,8,4,,,10,1,1964,,,,,,,,,,,,,,,,,,,,,3,11,16,1,0,1,1,0,0,0,0,4,4,4,9,7,8,8,10,2,1,6,26,2,3,6,6,5,5,3,3,3,2,6,77,2,3,0,4,7,3,7,3,3,66,6,66,6,6,66,66,6,66,66,66,66,6,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,66,2021-10-15 11:01:00,2021-10-15 12:29:00,72,1
